# schema_version=2
# Lists use commas, assertions use semicolons, paths use >, and branches/alternatives use |. A dash means no annotation.
fixture	extract_via	outcome	tracks	expected_entities	forbidden_entities	required_operators	forbidden_operators	required_unsupported	expected_candidates	required_paths	required_branches	separate_alternatives	parameters	minimum_evidence_records	minimum_evidence_support_pct	exact_runs	forbid_collection_reads
aphis_assembly_methods.txt	utf8	drafts_ready	assembly	hifiasm,yahs,busco,minimap2	nfcorernaseqreference	asm.hifiasm,asm.yahs,qc.busco,align.minimap2	nf.rnaseq	-	1	asm.hifiasm>gap:Hifiasm GFA export>asm.yahs>qc.busco;asm.hifiasm>gap:Hifiasm GFA export>align.minimap2>align.samtools_view>gap:Augustus	files.import>asm.hifiasm|gap:Genomescope;asm.yahs>gap:Blobtools|qc.busco	-	qc.busco:lineage=arthropoda_odb10;align.minimap2:preset=map-hifi	4	100	-	false
assembly_alternatives_methods.txt	utf8	drafts_ready	assembly	hifiasm,falcon,flye,busco	-	asm.hifiasm,qc.busco	-	falcon,flye	3	asm.hifiasm>qc.busco;gap:FALCON>qc.busco;gap:Flye>qc.busco	-	asm.hifiasm|gap:FALCON|gap:Flye	-	4	100	-	false
cited_resources_methods.txt	utf8	drafts_ready	rna_seq	fastqc,star	-	qc.fastqc,align.star	sra.prefetch,sra.fasterq_dump	-	1	files.import_paired>align.star	files.import_paired>qc.fastqc|align.star	-	-	2	100	-	true
comparison_only_methods.txt	utf8	drafts_ready	rna_seq	star,hisat2	-	align.hisat2	align.star	-	1	files.import>align.hisat2	-	-	-	2	100	-	false
gatk_methods.txt	utf8	drafts_ready	variants	bwamem,picardmarkduplicates,gatkhaplotypecaller	hisat2	align.bwa,align.samtools_sort,align.picard_mark_duplicates,var.haplotypecaller	nf.sarek,align.hisat2	-	1	files.import>align.bwa>align.samtools_view>align.samtools_sort>align.picard_mark_duplicates>var.haplotypecaller	-	-	-	3	100	-	false
hifiasm_methods.txt	utf8	drafts_ready	assembly	hifiasm,busco	-	asm.hifiasm,qc.busco	nf.rnaseq	-	1	files.import>asm.hifiasm>qc.busco	-	-	-	2	100	-	false
kraken2_methods.txt	utf8	drafts_ready	metagenome	kraken2	minimap2,nfcoretaxprofilerreference	class.kraken2	nf.taxprofiler,align.minimap2	-	1	files.import>class.kraken2	-	-	-	1	100	-	false
love_rnaseq_methods.txt	utf8	drafts_ready	rna_seq	star,featurecounts,deseq2	nfcorernaseqreference	align.star,quant.featurecounts,diff.deseq2	nf.rnaseq	-	1	files.import>align.star>quant.featurecounts>diff.deseq2	-	-	-	3	100	-	false
nfcore_rnaseq_methods.txt	utf8	drafts_ready	rna_seq	nfcorernaseqreference,fastqc,star,multiqc	-	qc.fastqc,nf.rnaseq	align.star	-	1	files.import>sheet.rnaseq>nf.rnaseq	files.import>qc.fastqc|sheet.rnaseq	-	-	4	100	-	false
pertea_hisat_methods.txt	utf8	drafts_ready	rna_seq	stringtie,ballgown,fastqc,hisat2,deseq2	bwamem	qc.fastqc,align.hisat2,quant.stringtie	nf.rnaseq,align.bwa,diff.deseq2	ballgown	1	files.import_paired>align.hisat2>quant.stringtie>gap:Ballgown	files.import_paired>qc.fastqc|align.hisat2	-	-	5	100	-	false
rnaseq_methods.txt	utf8	drafts_ready	rna_seq	fastqc,fastp,star,featurecounts,deseq2	nfcorernaseqreference	qc.fastqc,qc.fastp,align.star,quant.featurecounts,diff.deseq2	nf.rnaseq	-	1	files.import>qc.fastp>align.star>quant.featurecounts>diff.deseq2	files.import>qc.fastqc|qc.fastp	-	-	5	100	-	false
vgp_assembly_methods.txt	utf8	drafts_ready	assembly	falcon,purgedups,salsa,busco	nfcorernaseqreference	qc.busco	nf.rnaseq	falcon,purgedups,salsa	1	files.import>gap:FALCON>gap:Purge_Dups>gap:Salsa>qc.busco	-	-	-	4	100	-	false
no_reconstructable_methods.txt	utf8	no_reconstructable_methods	-	-	star,r	-	-	-	0	-	-	-	-	0	100	-	false
unsupported_te_methods.txt	utf8	drafts_ready	assembly	porechop,dnapipete,trinity,repeatmasker,custom-script,pirate,repeatmodeler,dipspades,bowtie2,seqkit,parsermpl,ltrpred,trinotate,cdhitest	spades,fastp	align.bowtie2,align.bowtie2_build	qc.fastp	porechop,dnapipete,trinity,repeatmasker,custom-script,pirate,repeatmodeler,dipspades,seqkit,parsermpl,ltrpred,trinotate,cdhitest	1	files.import>align.bowtie2;files.import_fasta>align.bowtie2_build>align.bowtie2	-	-	-	7	100	-	false
unsupported_statistics_methods.txt	utf8	recognized_unsupported	-	phytools,r,ouwie	star	-	-	phytools,r,ouwie	0	-	-	-	-	3	100	-	false
